ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
8199341000033118	39689911000001109	Dapagliflozin 5mg tablets	Dapagliflozin 5mg tablets	Dapagliflozin propanediol monohydrate	5.000mg	Tablet/ Oral Tablet	Oral	06010203	530014
8199441000033112	39689811000001104	Dapagliflozin 10mg tablets	Dapagliflozin 10mg tablets	Dapagliflozin propanediol monohydrate	10.000mg	Tablet/ Oral Tablet	Oral	06010203	6239955
8199541000033113	21609511000001105	Forxiga 5mg tablets (AstraZeneca UK Ltd)	Forxiga 5mg tablets	Dapagliflozin propanediol monohydrate	5.000mg	Tablet/ Oral Tablet	Oral		18019
8199641000033114	21609811000001108	Forxiga 10mg tablets (AstraZeneca UK Ltd)	Forxiga 10mg tablets	Dapagliflozin propanediol monohydrate	10.000mg	Tablet/ Oral Tablet	Oral		175349
9110341000033112	39734511000001100	Canagliflozin 100mg tablets	Canagliflozin 100mg tablets	Canagliflozin hemihydrate	100.000mg	Tablet/ Oral Tablet	Oral	06010203	845630
9110441000033118	24104511000001103	Canagliflozin 300mg tablets	Canagliflozin 300mg tablets	Canagliflozin hemihydrate	300.000mg	Tablet/ Oral Tablet	Oral	06010203	733969
9110541000033117	24088611000001101	Invokana 100mg tablets (A. Menarini Farmaceutica Internazionale SRL)	Invokana 100mg tablets	Canagliflozin hemihydrate	100.000mg	Tablet/ Oral Tablet	Oral		21487
9110641000033116	24088311000001106	Invokana 300mg tablets (A. Menarini Farmaceutica Internazionale SRL)	Invokana 300mg tablets	Canagliflozin hemihydrate	300.000mg	Tablet/ Oral Tablet	Oral		15391
9336641000033119	25290511000001101	Empagliflozin 10mg tablets	Empagliflozin 10mg tablets	Empagliflozin	10.000mg	Tablet/ Oral Tablet	Oral	06010203	2422620
9336841000033118	25290611000001102	Empagliflozin 25mg tablets	Empagliflozin 25mg tablets	Empagliflozin	25.000mg	Tablet/ Oral Tablet	Oral	06010203	2026669
9337141000033114	25238811000001107	Jardiance 10mg tablets (Boehringer Ingelheim Ltd)	Jardiance 10mg tablets	Empagliflozin	10.000mg	Tablet/ Oral Tablet	Oral		21810
9337241000033119	25239711000001108	Jardiance 25mg tablets (Boehringer Ingelheim Ltd)	Jardiance 25mg tablets	Empagliflozin	25.000mg	Tablet/ Oral Tablet	Oral		17450
11898041000033111	33745311000001109	Saxagliptin 5mg / Dapagliflozin 10mg tablets	Saxagliptin 5mg / Dapagliflozin 10mg tablets	Dapagliflozin propanediol monohydrate/ Saxagliptin hydrochloride	10.000mg + 5.000mg	Tablet/ Oral Tablet	Oral	06010203	9539
11898141000033110	33682311000001103	Qtern 5mg/10mg tablets (AstraZeneca UK Ltd)	Qtern 5mg/10mg tablets	Dapagliflozin propanediol monohydrate/ Saxagliptin hydrochloride	10.000mg + 5.000mg	Tablet/ Oral Tablet	Oral		3953
12880941000033111	36529511000001109	Ertugliflozin 5mg tablets	Ertugliflozin 5mg tablets	Ertugliflozin L-pyroglutamic acid	5.000mg	Tablet/ Oral Tablet	Oral	06010203	11525
12881041000033118	36529411000001105	Ertugliflozin 15mg tablets	Ertugliflozin 15mg tablets	Ertugliflozin L-pyroglutamic acid	15.000mg	Tablet/ Oral Tablet	Oral	06010203	5607
12881141000033119	36514811000001101	Steglatro 5mg tablets (Merck Sharp & Dohme (UK) Ltd)	Steglatro 5mg tablets	Ertugliflozin L-pyroglutamic acid	5.000mg	Tablet/ Oral Tablet	Oral		48
12881241000033114	36515111000001107	Steglatro 15mg tablets (Merck Sharp & Dohme (UK) Ltd)	Steglatro 15mg tablets	Ertugliflozin L-pyroglutamic acid	15.000mg	Tablet/ Oral Tablet	Oral		222
13116741000033112	37280311000001109	Empagliflozin 10mg / Linagliptin 5mg tablets	Empagliflozin 10mg / Linagliptin 5mg tablets	Empagliflozin/ Linagliptin	10.000mg + 5.000mg	Tablet/ Oral Tablet	Oral	06010203	2600
13116841000033119	37280511000001103	Empagliflozin 25mg / Linagliptin 5mg tablets	Empagliflozin 25mg / Linagliptin 5mg tablets	Empagliflozin/ Linagliptin	25.000mg + 5.000mg	Tablet/ Oral Tablet	Oral	06010203	2887
13116941000033110	37225211000001100	Glyxambi 10mg/5mg tablets (Boehringer Ingelheim Ltd)	Glyxambi 10mg/5mg tablets	Empagliflozin/ Linagliptin	10.000mg + 5.000mg	Tablet/ Oral Tablet	Oral		192
13117041000033111	37225511000001102	Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd)	Glyxambi 25mg/5mg tablets	Empagliflozin/ Linagliptin	25.000mg + 5.000mg	Tablet/ Oral Tablet	Oral		57
