ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
644941000033117	363211000001102	Glucophage 500mg tablets (Merck Serono Ltd)	Glucophage 500mg tablets	Metformin hydrochloride	500.000mg	Tablet/ Oral Tablet	Oral		631694
645041000033117	365111000001109	Glucophage 850mg tablets (Merck Serono Ltd)	Glucophage 850mg tablets	Metformin hydrochloride	850.000mg	Tablet/ Oral Tablet	Oral		144320
896941000033112	42084911000001109	Metformin 500mg tablets	Metformin 500mg tablets	Metformin hydrochloride	500.000mg	Tablet/ Oral Tablet	Oral	06010202	81995495
897041000033113	42085111000001105	Metformin 850mg tablets	Metformin 850mg tablets	Metformin hydrochloride	850.000mg	Tablet/ Oral Tablet	Oral	06010202	12750994
2620241000033119	8664411000001102	Metformin 500mg/5ml oral suspension	Metformin 500mg/5ml oral suspension	Metformin hydrochloride	100.000mg/1.000ml	Oral suspension	Oral	06010202	18784
3228141000033117	39113511000001101	Metformin 500mg modified-release tablets	Metformin 500mg modified-release tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral	06010202	14428423
3228241000033112	8990711000001100	Glucophage SR 500mg tablets (Merck Serono Ltd)	Glucophage SR 500mg tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral		1355727
3982341000033110	10750111000001100	Metformin 500mg/5ml oral solution sugar free	Metformin 500mg/5ml oral solution sugar free	Metformin hydrochloride	100.000mg/1.000ml	Oral solution	Oral	06010202	271533
3982441000033116	10741611000001100	Metsol 500mg/5ml oral solution (Kappin Ltd)	Metsol 500mg/5ml oral solution	Metformin hydrochloride	100.000mg/1.000ml	Oral solution	Oral		291
4549141000033118	38893811000001107	Metformin 750mg modified-release tablets	Metformin 750mg modified-release tablets	Metformin hydrochloride	750.000mg	Modified-release tablet	Oral	06010202	688267
4549241000033113	13748611000001107	Glucophage SR 750mg tablets (Merck Serono Ltd)	Glucophage SR 750mg tablets	Metformin hydrochloride	750.000mg	Modified-release tablet	Oral		72505
4945241000033117	38893711000001104	Metformin 1g modified-release tablets	Metformin 1g modified-release tablets	Metformin hydrochloride	1.000gram	Modified-release tablet	Oral	06010202	6136061
4945341000033110	15367811000001105	Glucophage SR 1000mg tablets (Merck Serono Ltd)	Glucophage SR 1000mg tablets	Metformin hydrochloride	1.000gram	Modified-release tablet	Oral		469898
4957741000033118	14183911000001108	Bolamyn SR 500mg tablets (Teva UK Ltd)	Bolamyn SR 500mg tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral		21982
5007641000033119	15411311000001103	Metformin 500mg oral powder sachets sugar free	Metformin 500mg oral powder sachets sugar free	Metformin hydrochloride	500.000mg	 Powder for oral solution/ Powder	Oral	06010202	98313
5007741000033111	15411211000001106	Metformin 1g oral powder sachets sugar free	Metformin 1g oral powder sachets sugar free	Metformin hydrochloride	1.000gram	 Powder for oral solution/ Powder	Oral	06010202	39603
